ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
ST61Q03,Experience with Applied Maths Tasks - Calculate Square Metres,Learning Mathematics,Experience with Applied Maths Tasks,Calculate Square Metres,,לימודי מתמטיקה,התנסות במשימות,חישוב מטר מרובע,,,2012,,,,,,,,,,,
ST61Q04,Experience with Applied Maths Tasks - Understand Scientific Tables,Learning Mathematics,Experience with Applied Maths Tasks,Understand Scientific Tables,,לימודי מתמטיקה,התנסות במשימות,הבנת טבלה חשבונית,,,2012,,,,,,,,,,,
ST61Q05,Experience with Pure Maths Tasks - Solve Equation 1,Learning Mathematics,Experience with Pure Maths Tasks,Solve Equation 1,,לימודי מתמטיקה,התנסות במשימות,פתירת משוואה 1,,,2012,,,,,,,,,,,
ST61Q06,Experience with Applied Maths Tasks - Use a Map to Calculate Distance,Learning Mathematics,Experience with Applied Maths Tasks,Use a Map to Calculate Distance,,לימודי מתמטיקה,התנסות במשימות,שימוש במפה לחישוב מרחק,,,2012,,,,,,,,,,,
ST61Q07,Experience with Pure Maths Tasks - Solve Equation 2,Learning Mathematics,Experience with Pure Maths Tasks,Solve Equation 2,,לימודי מתמטיקה,התנסות במשימות,פתירת משוואה 2,,,2012,,,,,,,,,,,
ST61Q08,Experience with Applied Maths Tasks - Calculate Power Consumption Rate,Learning Mathematics,Experience with Applied Maths Tasks,Calculate Power Consumption Rate,,לימודי מתמטיקה,התנסות במשימות,חישוב קצב צריכת כוח,,,2012,,,,,,,,,,,
ST61Q09,Experience with Applied Maths Tasks - Solve Equation 3,Learning Mathematics,Experience with Applied Maths Tasks,Solve Equation 3,,לימודי מתמטיקה,התנסות במשימות,פתרון משוואה 3,,,2012,,,,,,,,,,,
ST62Q01,Familiarity with Maths Concepts - Exponential Function,Learning Mathematics,Familiarity with Maths Concepts,Exponential Function,,לימודי מתמטיקה,היכרות מושגים,משוואה מעריכית,,,2012,,,,,,,,,,,
ST62Q02,Familiarity with Maths Concepts - Divisor,Learning Mathematics,Familiarity with Maths Concepts,Divisor,,לימודי מתמטיקה,היכרות מושגים,מחלק,,,2012,,,,,,,,,,,
ST62Q03,Familiarity with Maths Concepts - Quadratic Function,Learning Mathematics,Familiarity with Maths Concepts,Quadratic Function,,לימודי מתמטיקה,היכרות מושגים,משוואה ריבועית,,,2012,,,,,,,,,,,
ST62Q04,Overclaiming - Proper Number,Learning Mathematics,Overclaiming,Proper Number,,לימודי מתמטיקה,היכרות מושגים,מושג שאינו קיים - מספר תקין,,,2012,,,,,,,,,,,
ST62Q06,Familiarity with Maths Concepts - Linear Equation,Learning Mathematics,Familiarity with Maths Concepts,Linear Equation,,לימודי מתמטיקה,היכרות מושגים,משוואות לינאריות,,,2012,,,,,,,,,,,
ST62Q07,Familiarity with Maths Concepts - Vectors,Learning Mathematics,Familiarity with Maths Concepts,Vectors,,לימודי מתמטיקה,היכרות מושגים,וקטורים,,,2012,,,,,,,,,,,
ST62Q08,Familiarity with Maths Concepts - Complex Number,Learning Mathematics,Familiarity with Maths Concepts,Complex Number,,לימודי מתמטיקה,היכרות מושגים,מספרים מרוכבים,,,2012,,,,,,,,,,,
ST62Q09,Familiarity with Maths Concepts - Rational Number,Learning Mathematics,Familiarity with Maths Concepts,Rational Number,,לימודי מתמטיקה,היכרות מושגים,מספרים רציונלים,,,2012,,,,,,,,,,,
ST62Q10,Familiarity with Maths Concepts - Radicals,Learning Mathematics,Familiarity with Maths Concepts,Radicals,,לימודי מתמטיקה,היכרות מושגים,שורשים,,,2012,,,,,,,,,,,
ST62Q11,Overclaiming - Subjunctive Scaling,Learning Mathematics,Overclaiming,Subjunctive Scaling,,לימודי מתמטיקה,היכרות מושגים,Subjunctive Scaling – מושג שאינו קיים,,,2012,,,,,,,,,,,
ST62Q12,Familiarity with Maths Concepts - Polygon,Learning Mathematics,Familiarity with Maths Concepts,Polygon,,לימודי מתמטיקה,היכרות מושגים,פוליגון,,,2012,,,,,,,,,,,
ST62Q13,Overclaiming - Declarative Fraction,Learning Mathematics,Overclaiming,Declarative Fraction,,לימודי מתמטיקה,היכרות מושגים,מושג שאינו קיים – שבר דקלרטיבי,,,2012,,,,,,,,,,,
ST62Q15,Familiarity with Maths Concepts - Congruent Figure,Learning Mathematics,Familiarity with Maths Concepts,Congruent Figure,,לימודי מתמטיקה,היכרות מושגים,צורות חופפות,,,2012,,,,,,,,,,,
ST62Q16,Familiarity with Maths Concepts - Cosine,Learning Mathematics,Familiarity with Maths Concepts,Cosine,,לימודי מתמטיקה,היכרות מושגים,קוסינוס,,,2012,,,,,,,,,,,
ST62Q17,Familiarity with Maths Concepts - Arithmetic Mean,Learning Mathematics,Familiarity with Maths Concepts,Arithmetic Mean,,לימודי מתמטיקה,היכרות מושגים,ממוצע אריתמטי,,,2012,,,,,,,,,,,
ST62Q19,Familiarity with Maths Concepts - Probability,Learning Mathematics,Familiarity with Maths Concepts,Probability,,לימודי מתמטיקה,היכרות מושגים,הסתברות,,,2012,,,,,,,,,,,
ST69Q01,Min in <class period> - <test lang>,,Min in <class period>,<test lang>,,שעות לימוד,זמן שיעור,קריאה,,,2012,,,,,,,,,,,
ST69Q02,Min in <class period> - <Maths>,,Min in <class period>,<Maths>,,שעות לימוד,זמן שיעור,מתמטיקה,,,2012,,,,,,,,,,,
ST69Q03,Min in <class period> - <Science>,,Min in <class period>,<Science>,,שעות לימוד,זמן שיעור,מדעים,,,2012,,,,,,,,,,,
ST70Q01,No of <class period> p/wk - <test lang>,,No of <class period> p/wk,<test lang>,,שעות לימוד,שעות שבועיות,קריאה,,,2012,,,,,,,,,,,
ST70Q02,No of <class period> p/wk - <Maths>,,No of <class period> p/wk,<Maths>,,שעות לימוד,שעות שבועיות,מתמטיקה,,,2012,,,,,,,,,,,
ST70Q03,No of <class period> p/wk - <Science>,,No of <class period> p/wk,<Science>,,שעות לימוד,שעות שבועיות,מדעים,,,2012,,,,,,,,,,,
ST71Q01,No of ALL <class period> a week,,No of ALL <class period> a week,,,שעות לימוד,שעות שבועיות,כללי,,,2012,,,,,,,,,,,
ST72Q01,Class Size - No of Students in <Test Language> Class,,Class Size,No of Students in Class,,גודל כיתה,גודל כיתה,מספר תלמידים,,,2012,,,,,,,,,,,
ST73Q01,OTL - Algebraic Word Problem in Maths Lesson,Learning Mathematics,Opportunity to learn,Algebraic Word Problem in Maths Lesson,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,2012,,,,,,,,,
ST73Q02,OTL - Algebraic Word Problem in Tests,Learning Mathematics,Opportunity to learn,Algebraic Word Problem in Tests,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST74Q01,OTL - Procedural Task in Maths Lesson,Learning Mathematics,Opportunity to learn,Procedural Task in Maths Lesson,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST74Q02,OTL - Procedural Task in Tests,Learning Mathematics,Opportunity to learn,Procedural Task in Tests,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST75Q01,OTL - Pure Maths Reasoning in Maths Lesson,Learning Mathematics,Opportunity to learn,Pure Maths Reasoning in Maths Lesson,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST75Q02,OTL - Pure Maths Reasoning in Tests,Learning Mathematics,Opportunity to learn,Pure Maths Reasoning in Tests,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST76Q01,OTL - Applied Maths Reasoning in Maths Lesson,Learning Mathematics,Opportunity to learn,Applied Maths Reasoning in Maths Lesson,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST76Q02,OTL - Applied Maths Reasoning in Tests,Learning Mathematics,Opportunity to learn,Applied Maths Reasoning in Tests,,לימודי מתמטיקה,פתרון בעיות,,,,2012,,,,,,,,,,,
ST77Q01,Maths Teaching - Teacher shows interest,Learning Mathematics,Maths Teaching,Teacher shows interest,,לימודי מתמטיקה,הוראה בכיתה,המורה מראה עניין,,,2012,,,,,,,,,,,
ST77Q02,Maths Teaching - Extra help,Learning Mathematics,Maths Teaching,Extra help,,לימודי מתמטיקה,הוראה בכיתה,עזרה נוספת,,,2012,,,,,,,,,,,
ST77Q04,Maths Teaching - Teacher helps,Learning Mathematics,Maths Teaching,Teacher helps,,לימודי מתמטיקה,הוראה בכיתה,המורה עוזרת,,,2012,,,,,,,,,,,
ST77Q05,Maths Teaching - Teacher continues,Learning Mathematics,Maths Teaching,Teacher continues,,לימודי מתמטיקה,הוראה בכיתה,המורה ממשיכה,,,2012,,,,,,,,,,,
ST77Q06,Maths Teaching - Express opinions,Learning Mathematics,Maths Teaching,Express opinions,,לימודי מתמטיקה,הוראה בכיתה,מבטאת דעות,,,2012,,,,,,,,,,,
ST79Q01,Teacher-Directed Instruction - Sets Clear Goals,Learning Mathematics,Teacher-Directed Instruction,Sets Clear Goals,,לימודי מתמטיקה,הוראות המורה,נותנת הוראות ברורות,,,2012,,,,,,,,,,,
ST79Q02,Teacher-Directed Instruction - Encourages Thinking and Reasoning,Learning Mathematics,Teacher-Directed Instruction,Encourages Thinking and Reasoning,,לימודי מתמטיקה,הוראה בכיתה,מעודדת חשיבה ונימוק,,,2012,,,,,,,,,,,
ST79Q03,Student Orientation - Differentiates Between Students When Giving Tasks,Learning Mathematics,Student Orientation,Differentiates Between Students When Giving Tasks,,לימודי מתמטיקה,אוריינות תלמיד,נותנת לכל תלמיד משימה אחרת,,,2012,,,,,,,,,,,
ST79Q04,Student Orientation - Assigns Complex Projects,Learning Mathematics,Student Orientation,Assigns Complex Projects,,לימודי מתמטיקה,אוריינות תלמיד,נותנת פרויקטים מורכבים,,,2012,,,,,,,,,,,
ST79Q05,Formative Assessment - Gives Feedback,Learning Mathematics,Formative Assessment,Gives Feedback,,לימודי מתמטיקה,הערכה פורמלית,נותנת משוב,,,2012,,,,,,,,,,,
ST79Q06,Teacher-Directed Instruction - Checks Understanding,Learning Mathematics,Teacher-Directed Instruction,Checks Understanding,,לימודי מתמטיקה,הוראות המורה,בודקת הבנה,,,2012,,,,,,,,,,,
ST79Q07,Student Orientation - Has Students Work in Small Groups,Learning Mathematics,Student Orientation,Has Students Work in Small Groups,,לימודי מתמטיקה,אוריינות תלמיד,יש תלמידים שעובדים בקבוצות קטנות,,,2012,,,,,,,,,,,
ST79Q08,Teacher-Directed Instruction - Summarizes Previous Lessons,Learning Mathematics,Teacher-Directed Instruction,Summarizes Previous Lessons,,לימודי מתמטיקה,הוראות המורה,מסכמת שיעורים קודמים,,,2012,,,,,,,,,,,
ST79Q10,Student Orientation - Plans Classroom Activities,Learning Mathematics,Student Orientation,Plans Classroom Activities,,לימודי מתמטיקה,אוריינות תלמיד,מתכננת פעילויות כיתה,,,2012,,,,,,,,,,,
ST79Q11,Formative Assessment - Gives Feedback on Strengths and Weaknesses,Learning Mathematics,Formative Assessment,Gives Feedback on Strengths and Weaknesses,,לימודי מתמטיקה,הערכה פורמלית,נותנת משוב לחוזקות וחולשות,,,2012,,,,,,,,,,,
ST79Q12,Formative Assessment - Informs about Expectations,Learning Mathematics,Formative Assessment,Informs about Expectations,,לימודי מתמטיקה,הערכה פורמלית,מודיעה על הציפיות,,,2012,,,,,,,,,,,
ST79Q15,Teacher-Directed Instruction - Informs about Learning Goals,Learning Mathematics,Teacher-Directed Instruction,Informs about Learning Goals,,לימודי מתמטיקה,הוראות המורה,מודיעה על מטרות הלמידה,,,2012,,,,,,,,,,,
ST79Q17,Formative Assessment - Tells How to Get Better,Learning Mathematics,Formative Assessment,Tells How to Get Better,,לימודי מתמטיקה,הערכה פורמלית,אומרת כיצד להשתפר,,,2012,,,,,,,,,,,
ST80Q01,Cognitive Activation - Teacher Encourages to Reflect Problems,Learning Mathematics,Cognitive Activation,Teacher Encourages to Reflect Problems,,לימודי מתמטיקה,פעילות קוגניטיבית,המורה מעודדת לשקף בעיות,,,2012,,,,,,,,,,,
ST80Q04,Cognitive Activation - Gives Problems that Require to Think,Learning Mathematics,Cognitive Activation,Gives Problems that Require to Think,,לימודי מתמטיקה,פעילות קוגניטיבית,נותנת בעיות שדורשות חשיבה,,,2012,,,,,,,,,,,
ST80Q05,Cognitive Activation - Asks to Use Own Procedures,Learning Mathematics,Cognitive Activation,Asks to Use Own Procedures,,לימודי מתמטיקה,פעילות קוגניטיבית,מבקשת להשתמש בדרכים שלה,,,2012,,,,,,,,,,,
ST80Q06,Cognitive Activation - Presents Problems with No Obvious Solutions,Learning Mathematics,Cognitive Activation,Presents Problems with No Obvious Solutions,,לימודי מתמטיקה,פעילות קוגניטיבית,מציגה בעיות ללא פרונות ברורים,,,2012,,,,,,,,,,,
ST80Q07,Cognitive Activation - Presents Problems in Different Contexts,Learning Mathematics,Cognitive Activation,Presents Problems in Different Contexts,,לימודי מתמטיקה,פעילות קוגניטיבית,מציגה בעיות בהקשרים שונים,,,2012,,,,,,,,,,,
ST80Q08,Cognitive Activation - Helps Learn from Mistakes,Learning Mathematics,Cognitive Activation,Helps Learn from Mistakes,,לימודי מתמטיקה,פעילות קוגניטיבית,עוזרת ללמוד משגיאות,,,2012,,,,,,,,,,,
ST80Q09,Cognitive Activation - Asks for Explanations,Learning Mathematics,Cognitive Activation,Asks for Explanations,,לימודי מתמטיקה,פעילות קוגניטיבית,מבקשת הסברים,,,2012,,,,,,,,,,,
ST80Q10,Cognitive Activation - Apply What We Learned,Learning Mathematics,Cognitive Activation,Apply What We Learned,,לימודי מתמטיקה,פעילות קוגניטיבית,מיישמת מה שלמדנו,,,2012,,,,,,,,,,,
ST80Q11,Cognitive Activation - Problems with Multiple Solutions,Learning Mathematics,Cognitive Activation,Problems with Multiple Solutions,,לימודי מתמטיקה,פעילות קוגניטיבית,בעיות עם מספר תשובות,,,2012,,,,,,,,,,,
ST81Q01,Disciplinary Climate - Students Don\92t Listen,Learning Mathematics,Disciplinary Climate,Students Don\92t Listen,,לימודי מתמטיקה,אקלים משמעת,תלמידים לא מקשיבים,,,2012,,,,,,,,,,,
ST81Q02,Disciplinary Climate - Noise and Disorder,Learning Mathematics,Disciplinary Climate,Noise and Disorder,,לימודי מתמטיקה,אקלים משמעת,רעש ובלאגן,,,2012,,,,,,,,,,,
ST81Q03,Disciplinary Climate - Teacher Has to Wait Until its Quiet,Learning Mathematics,Disciplinary Climate,Teacher Has to Wait Until its Quiet,,לימודי מתמטיקה,אקלים משמעת,המורה מחכה עד שיהיה שקט,,,2012,,,,,,,,,,,
ST81Q04,Disciplinary Climate - Students Don\92t Work Well,Learning Mathematics,Disciplinary Climate,Students Don\92t Work Well,,לימודי מתמטיקה,אקלים משמעת,התלמידים לא עובדים טוב,,,2012,,,,,,,,,,,
ST81Q05,Disciplinary Climate - Students Start Working Late,Learning Mathematics,Disciplinary Climate,Students Start Working Late,,לימודי מתמטיקה,אקלים משמעת,התלמידים מתחילים לעבוד מאוחר,,,2012,,,,,,,,,,,
ST82Q01,Vignette Teacher Support - Homework Every Other Day/Back in Time,Learning Mathematics,Vignette Teacher Support,Homework Every Other Day/Back in Time,,לימודי מתמטיקה,תמיכת המורה,שיעורי בית פעם ביומיים/מחזירה בזמן,,,2012,,,,,,,,,,,
ST82Q02,Vignette Teacher Support - Homework Once a Week/Back in Time,Learning Mathematics,Vignette Teacher Support,Homework Once a Week/Back in Time,,לימודי מתמטיקה,תמיכת המורה,שיעורי בית פעם בשבוע/מחזירה בזמן,,,2012,,,,,,,,,,,
ST82Q03,Vignette Teacher Support - Homework Once a Week/Not Back in Time,Learning Mathematics,Vignette Teacher Support,Homework Once a Week/Not Back in Time,,לימודי מתמטיקה,תמיכת המורה,שיעורי בית פעם בשבוע/לא מחזירה בזמן,,,2012,,,,,,,,,,,
ST83Q01,Teacher Support - Lets Us Know We Have to Work Hard,Learning Mathematics,Teacher Support,Lets Us Know We Have to Work Hard,,לימודי מתמטיקה,תמיכת המורה,אומרת שאנו צריכים להשקיע,,,2012,,,,,,,,,,,
